# # Once                                                         FEFF 9.6.4  
# # POT  SCF 100  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=27 Rmt= 1.313 Rnm= 1.365 K  shell
# # Pot 1 Z=62 Rmt= 1.669 Rnm= 1.693
# # Pot 2 Z=27 Rmt= 1.342 Rnm= 1.393
# # Gam_ch=1.436E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-1.767E+01 kf=2.070E+00 Vint=-2.666E+01 Rs_int= 1.752
# # PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   2.3908
#           2       0.00000     98.67      4.00     2   2.4071
#           3       0.00000     43.64      2.00     2   2.5590
#           4       0.00000     41.59      2.00     2   3.1458
#           5       0.00000      7.37      8.00     3   3.6469
#           6       0.00000     33.51      4.00     2   3.9313
#           7       0.00000     16.18      2.00     2   3.9886
#           8       0.00000     15.55      2.00     2   4.0541
#           9       0.00000     29.08      4.00     2   4.1667
#          10       0.00000      9.21      8.00     3   4.3298
#          11       0.00000      8.84      8.00     3   4.4179
#          12       0.00000      6.39      8.00     3   4.4205
#          13       0.00000      6.65      8.00     3   4.4478
#          15       0.00000      9.13      8.00     3   4.4905
#          16       0.00000     23.55      4.00     2   4.5336
#          17       0.00000      5.75      8.00     3   4.5667
#          18       0.00000     22.95      4.00     2   4.5793
#          19       0.00000      5.81      8.00     3   4.5971
#          20       0.00000     35.55      4.00     2   4.6336
#          21       0.00000      9.77      8.00     3   4.7621
#          22       0.00000     10.30      8.00     3   4.7768
#          23       0.00000     11.43      4.00     3   4.7817
#          24       0.00000     10.67      4.00     4   4.7817
#          25       0.00000      5.58      4.00     4   4.7817
#          26       0.00000     10.13      2.00     2   4.8067
#          27       0.00000     11.16      4.00     3   4.8142
#          28       0.00000     10.37      4.00     4   4.8142
#          29       0.00000      5.42      4.00     4   4.8142
#          30       0.00000     20.15      4.00     2   4.8174
#          31       0.00000     41.52      8.00     3   4.8286
#          32       0.00000     26.85      4.00     4   4.8399
#          33       0.00000     19.83      4.00     2   4.8466
#          34       0.00000     35.46      8.00     3   4.8667
#          35       0.00000     18.62      4.00     4   4.8868
#          36       0.00000      4.45      4.00     3   4.9876
#          37       0.00000     10.09      8.00     3   4.9973
#          38       0.00000     17.71      4.00     2   5.0598
#          39       0.00000      4.48      2.00     3   5.1181
#          41       0.00000      5.16      8.00     3   5.1205
#          42       0.00000      5.06      8.00     3   5.1283
#          43       0.00000     12.65      8.00     3   5.1349
#          45       0.00000      7.14      2.00     2   5.4826
#          46       0.00000     13.88      4.00     2   5.5407
#          47       0.00000      6.84      4.00     3   5.7640
#          48       0.00000     24.31      8.00     2   5.8135
#          49       0.00000     11.74      8.00     3   5.8511
#          50       0.00000     13.27      8.00     3   6.0526
#          52       0.00000      4.25      8.00     3   6.0678
#          54       0.00000      5.19      8.00     3   6.1804
#          55       0.00000      5.10      2.00     2   6.1871
#          56       0.00000     22.71      4.00     3   6.1876
#          57       0.00000     25.28      2.00     4   6.1881
#          58       0.00000     10.17      4.00     2   6.1954
#          59       0.00000      5.82      8.00     3   6.1975
#          60       0.00000      4.74      8.00     3   6.1990
#          61       0.00000     10.09      4.00     2   6.2118
#    56/  59 paths used
#  xsedge+50, used to normalize mu           2.8901E-04
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    7719.581    -17.657   0.050  4.69942E-01  3.38291E-01  2.21584E-01
    7719.609    -17.629   0.100  4.74586E-01  3.43708E-01  2.19900E-01
    7719.657    -17.581   0.150  4.88274E-01  3.59850E-01  2.14655E-01
    7719.723    -17.514   0.200  5.01670E-01  3.75991E-01  2.08979E-01
    7719.809    -17.429   0.250  5.20943E-01  4.00949E-01  1.97853E-01
    7719.914    -17.324   0.300  5.39208E-01  4.25906E-01  1.85263E-01
    7720.038    -17.200   0.350  5.55534E-01  4.54510E-01  1.63332E-01
    7720.181    -17.057   0.400  5.70052E-01  4.83113E-01  1.38995E-01
    7720.343    -16.895   0.450  5.76847E-01  5.09931E-01  1.05522E-01
    7720.523    -16.714   0.500  5.81890E-01  5.36749E-01  7.02239E-02
    7720.724    -16.514   0.550  5.78726E-01  5.59886E-01  2.88530E-02
    7720.943    -16.295   0.600  5.73309E-01  5.83023E-01 -1.46490E-02
    7721.181    -16.057   0.650  5.56075E-01  6.03072E-01 -6.96747E-02
    7721.438    -15.800   0.700  5.35883E-01  6.23122E-01 -1.27184E-01
    7721.714    -15.524   0.750  5.01803E-01  6.41140E-01 -1.99539E-01
    7722.009    -15.228   0.800  4.65907E-01  6.59158E-01 -2.71930E-01
    7722.324    -14.914   0.850  4.18686E-01  6.75867E-01 -3.55390E-01
    7722.657    -14.581   0.900  3.73859E-01  6.92577E-01 -4.32657E-01
    7723.010    -14.228   0.950  3.25572E-01  7.08372E-01 -5.10419E-01
    7723.381    -13.857   1.000  2.86970E-01  7.24168E-01 -5.72778E-01
    7723.772    -13.466   1.050  2.56706E-01  7.39144E-01 -6.21220E-01
    7724.181    -13.057   1.100  2.44303E-01  7.54120E-01 -6.45418E-01
    7724.610    -12.628   1.150  2.51445E-01  7.68270E-01 -6.43730E-01
    7725.057    -12.180   1.200  2.80588E-01  7.82421E-01 -6.15128E-01
    7725.524    -11.714   1.250  3.32428E-01  7.95639E-01 -5.59319E-01
    7726.010    -11.228   1.300  4.01565E-01  8.08857E-01 -4.84571E-01
    7726.515    -10.723   1.350  4.84721E-01  8.21029E-01 -3.94739E-01
    7727.039    -10.199   1.400  5.72212E-01  8.33201E-01 -3.02270E-01
    7727.581     -9.656   1.450  6.58234E-01  8.44215E-01 -2.12839E-01
    7728.143     -9.094   1.500  7.34932E-01  8.55228E-01 -1.36053E-01
    7728.724     -8.513   1.550  7.98503E-01  8.65007E-01 -7.44447E-02
    7729.325     -7.913   1.600  8.46992E-01  8.74786E-01 -3.07963E-02
    7729.944     -7.294   1.650  8.81403E-01  8.83261E-01 -2.04096E-03
    7730.582     -6.656   1.700  9.05068E-01  8.91736E-01  1.45208E-02
    7731.239     -5.999   1.750  9.22214E-01  8.98906E-01  2.52100E-02
    7731.915     -5.322   1.800  9.37258E-01  9.06075E-01  3.34925E-02
    7732.611     -4.627   1.850  9.53323E-01  9.11965E-01  4.41794E-02
    7733.325     -3.913   1.900  9.71885E-01  9.17854E-01  5.74036E-02
    7734.058     -3.179   1.950  9.92195E-01  9.22460E-01  7.37863E-02
    7734.811     -2.427   2.000  1.01222E+00  9.27067E-01  8.97352E-02
    7735.582     -1.655   2.050  1.03026E+00  9.30092E-01  1.05320E-01
    7736.373     -0.865   2.100  1.04205E+00  9.33117E-01  1.14285E-01
    7737.183     -0.055   2.150  1.04556E+00  9.36143E-01  1.14535E-01
    7738.011      0.774   2.200  1.04053E+00  9.39168E-01  1.05864E-01
    7738.859      1.621   2.250  1.02460E+00  9.40096E-01  8.82962E-02
    7739.726      2.488   2.300  1.00219E+00  9.41023E-01  6.39360E-02
    7740.612      3.374   2.350  9.78988E-01  9.41951E-01  3.87313E-02
